FECHA;PRECIO M2;VARIACION MENSUAL;VARIACION TRIMESTRAL;VARIACION ANUAL;CIUDAD;NEGOCIO
01/07/2015;5,2 ;0,2;1,4;2,3;ALGECIRAS;ALQUILER
01/08/2015;5,2 ;0,5;0,1;0,7;ALGECIRAS;ALQUILER
01/09/2015;5,2 ;0,7;0,4;1,4;ALGECIRAS;ALQUILER
01/10/2015;5,2 ;0,2;0,0;1,0;ALGECIRAS;ALQUILER
01/11/2015;5,2 ;0,0;0,5;0,3;ALGECIRAS;ALQUILER
01/01/2016;5,2 ;1,2;0,5;0,6;ALGECIRAS;ALQUILER
01/07/2011;5,3 ;1,7;4,6;5,0;ALGECIRAS;ALQUILER
01/08/2011;5,3 ;0,3;4,4;5,1;ALGECIRAS;ALQUILER
01/10/2012;5,3 ;3,7;3,7;2,9;ALGECIRAS;ALQUILER
01/11/2012;5,3 ;0,1;3,8;4,8;ALGECIRAS;ALQUILER
01/05/2013;5,3 ;0,4;0,8;5,3;ALGECIRAS;ALQUILER
01/08/2013;5,3 ;1,0;0,2;4,3;ALGECIRAS;ALQUILER
01/09/2013;5,3 ;0,9;1,6;3,4;ALGECIRAS;ALQUILER
01/12/2015;5,3 ;0,7;0,4;1,6;ALGECIRAS;ALQUILER
01/06/2016;5,3 ;1,7;3,3;2,0;ALGECIRAS;ALQUILER
01/06/2011;5,4 ;3,0;5,3;n.d.;ALGECIRAS;ALQUILER
01/09/2011;5,4 ;2,8;1,3;4,1;ALGECIRAS;ALQUILER
01/02/2016;5,4 ;3,9;3,4;4,7;ALGECIRAS;ALQUILER
01/05/2016;5,4 ;0,9;0,2;4,1;ALGECIRAS;ALQUILER
01/09/2016;5,4 ;0,9;1,8;3,5;ALGECIRAS;ALQUILER
01/10/2016;5,4 ;0,7;0,1;4,4;ALGECIRAS;ALQUILER
01/07/2010;5,5 ;n.d.;n.d.;n.d.;ALGECIRAS;ALQUILER
01/01/2011;5,5 ;1,0;4,9;n.d.;ALGECIRAS;ALQUILER
01/04/2011;5,5 ;2,5;0,2;n.d.;ALGECIRAS;ALQUILER
01/05/2011;5,5 ;0,1;1,0;n.d.;ALGECIRAS;ALQUILER
01/10/2011;5,5 ;0,6;3,7;6,1;ALGECIRAS;ALQUILER
01/12/2011;5,5 ;1,0;1,5;1,3;ALGECIRAS;ALQUILER
01/01/2012;5,5 ;0,1;1,0;0,3;ALGECIRAS;ALQUILER
01/02/2012;5,5 ;0,1;1,0;1,2;ALGECIRAS;ALQUILER
01/05/2012;5,5 ;0,9;0,8;0,5;ALGECIRAS;ALQUILER
01/06/2012;5,5 ;0,4;1,5;3,2;ALGECIRAS;ALQUILER
01/07/2012;5,5 ;0,5;1,7;4,5;ALGECIRAS;ALQUILER
01/08/2012;5,5 ;0,0;0,8;4,2;ALGECIRAS;ALQUILER
01/09/2012;5,5 ;0,0;0,5;1,4;ALGECIRAS;ALQUILER
01/03/2016;5,5 ;1,9;4,6;7,3;ALGECIRAS;ALQUILER
01/04/2016;5,5 ;0,7;5,1;6,1;ALGECIRAS;ALQUILER
01/07/2016;5,5 ;2,6;0,1;4,5;ALGECIRAS;ALQUILER
01/08/2016;5,5 ;0,2;1,0;5,2;ALGECIRAS;ALQUILER
01/11/2016;5,5 ;1,7;1,5;6,2;ALGECIRAS;ALQUILER
01/08/2010;5,6 ;0,4;n.d.;n.d.;ALGECIRAS;ALQUILER
01/12/2010;5,6 ;2,1;1,4;n.d.;ALGECIRAS;ALQUILER
01/02/2011;5,6 ;0,8;2,2;n.d.;ALGECIRAS;ALQUILER
01/11/2011;5,6 ;1,9;5,4;2,4;ALGECIRAS;ALQUILER
01/03/2012;5,6 ;2,0;1,9;0,8;ALGECIRAS;ALQUILER
01/04/2012;5,6 ;0,3;1,5;1,5;ALGECIRAS;ALQUILER
01/12/2016;5,6 ;1,0;3,4;6,5;ALGECIRAS;ALQUILER
01/06/2017;5,6 ;1,3;3,9;6,1;ALGECIRAS;ALQUILER
01/07/2017;5,6 ;0,1;3,4;3,4;ALGECIRAS;ALQUILER
01/09/2010;5,7 ;1,7;n.d.;n.d.;ALGECIRAS;ALQUILER
01/11/2010;5,7 ;1,9;2,5;n.d.;ALGECIRAS;ALQUILER
01/03/2011;5,7 ;1,5;1,4;n.d.;ALGECIRAS;ALQUILER
01/01/2017;5,7 ;1,7;4,4;9,6;ALGECIRAS;ALQUILER
01/05/2017;5,7 ;2,2;0,9;5,6;ALGECIRAS;ALQUILER
01/08/2017;5,7 ;1,9;0,7;5,3;ALGECIRAS;ALQUILER
01/09/2017;5,7 ;0,9;1,1;5,3;ALGECIRAS;ALQUILER
01/10/2017;5,7 ;0,8;0,2;3,8;ALGECIRAS;ALQUILER
01/11/2017;5,7 ;0,5;1,2;2,5;ALGECIRAS;ALQUILER
01/12/2017;5,7 ;0,2;0,1;1,8;ALGECIRAS;ALQUILER
01/01/2018;5,7 ;0,9;1,7;1,0;ALGECIRAS;ALQUILER
01/02/2018;5,7 ;1,1;0,0;1,4;ALGECIRAS;ALQUILER
01/10/2010;5,8 ;2,7;4,8;n.d.;ALGECIRAS;ALQUILER
01/02/2017;5,8 ;1,3;4,0;6,8;ALGECIRAS;ALQUILER
01/04/2017;5,8 ;0,4;2,7;7,0;ALGECIRAS;ALQUILER
01/03/2018;5,8 ;1,3;1,2;1,8;ALGECIRAS;ALQUILER
01/04/2018;5,8 ;0,9;1,1;0,5;ALGECIRAS;ALQUILER
01/05/2018;5,8 ;0,1;2,1;1,7;ALGECIRAS;ALQUILER
01/06/2018;5,8 ;0,1;0,7;2,9;ALGECIRAS;ALQUILER
01/07/2018;5,8 ;0,5;0,3;3,4;ALGECIRAS;ALQUILER
01/08/2018;5,8 ;0,8;0,4;0,6;ALGECIRAS;ALQUILER
01/09/2018;5,8 ;1,1;0,9;2,7;ALGECIRAS;ALQUILER
01/10/2018;5,8 ;0,8;0,5;2,6;ALGECIRAS;ALQUILER
01/03/2017;5,9 ;1,8;4,9;6,8;ALGECIRAS;ALQUILER
01/11/2018;5,9 ;2,6;2,9;4,7;ALGECIRAS;ALQUILER
01/12/2018;5,9 ;0,4;1,4;4,1;ALGECIRAS;ALQUILER
01/02/2019;5,9 ;1,7;1,4;3,2;ALGECIRAS;ALQUILER
01/03/2019;5,9 ;0,1;1,2;1,7;ALGECIRAS;ALQUILER
01/04/2019;5,9 ;0,2;1,6;1,0;ALGECIRAS;ALQUILER
01/01/2019;6,0 ;0,6;2,8;3,7;ALGECIRAS;ALQUILER
01/05/2019;6,0 ;1,4;1,5;2,6;ALGECIRAS;ALQUILER
01/06/2019;6,0 ;0,0;1,7;2,7;ALGECIRAS;ALQUILER
01/07/2019;6,1 ;3,0;4,5;5,2;ALGECIRAS;ALQUILER
01/08/2019;6,2 ;1,7;4,7;7,8;ALGECIRAS;ALQUILER
